ID,Active,Custom,Level,Gender,ExtraGold,ExtraWood,ExtraStone,ExtraIron,ExtraOil,IDBonusTechnologies,IDBonusEntities,Mods,
Mayor_001,Y,,1,Male,,,,,,,,"Ranger BuildingTimeFactor -90%
Ranger Life -90%
Ranger GoldCost -70%",
Mayor_002,Y,,1,Female,,,,,,,,"Sniper BuildingTimeFactor -70%
Sniper Life -90%
Sniper GoldCost -50%",
Mayor_003,Y,,1,Male,,,,,,,,"Soldier BuildingTimeFactor -80%
Soldier Life -90%
Soldier GoldCost -60%",
Mayor_004,Y,,1,Female,-500,,,,,,,"CommandCenter GoldGen +100",
Mayor_005,Y,,1,Male,,,,,,,,"Sawmill WoodGen +5
Sawmill EnergyNeeded +150%",
Mayor_006,Y,,1,Female,,,,,,,,"Quarry StoneGen +1
Quarry IronGen +1
Quarry EnergyNeeded +50%",
Mayor_007,Y,,1,Male,,,,,,,,"CommandCenter EnergySupply +50
CommandCenter FoodSupply +50",
Mayor_008,Y,,1,Female,,,,,,,,"Ranger Life +200%
Ranger GoldCost +50%",
Mayor_009,Y,,1,Male,,,,,,,,"Soldier Life +300%
Soldier GoldCost +60%",
Mayor_010,Y,,1,Female,,,,,,,,"Sniper Life +100%
Sniper GoldCost +70%",
Mayor_011,Y,,1,Male,1000,,20,,,,,,
Mayor_012,Y,,1,Female,2000,20,20,,,,,,
Mayor_013,Y,,1,Male,,,,,,,,"CommandCenter ResourcesStorage +200
Farm ResourceGeneration -10%",
Mayor_014,Y,,1,Female,,,,,,,,"CommandCenter ResourcesStorage +50",
Mayor_015,Y,,1,Male,,,,,,,,"Sniper Life +10%",
Mayor_016,Y,,1,Female,,,,,,,,"Ranger Life +20%",
Mayor_017,Y,,1,Male,,,,,,,,"Soldier Life +30%",
Mayor_018,Y,,1,Female,,,,,,,,"CommandCenter GoldGen +50
CommandCenter FoodSupply +50",
Mayor_019,Y,,1,Male,,,,,,,,"Technology GoldCost -20%",
Mayor_020,Y,,1,Female,,,,,,,"WoodWorkshop",,
Mayor_021,Y,,1,Male,,,,,,,,"Soldier RunSpeed +30%
Soldier IronCost +1",
Mayor_022,Y,,1,Female,,,,,,,,"SniperAttack ActionRange +3
SniperAttackVeteran ActionRange +3
Sniper IronCost +2",
Mayor_023,Y,,1,Female,,,,,,,,"RangerAttack ActionRange +2
RangerAttackVeteran ActionRange +2
Ranger WoodCost +2",
Mayor_024,Y,,2,Male,,,,,,,,"CommandCenter GoldGen +300
Building EnergyNeeded +15%",
Mayor_025,Y,,2,Female,,,,,,,,"Building EnergyNeeded -30%
Farm ResourceGeneration -20%",
Mayor_026,Y,,2,Male,,,,,,,"StoneWorkshop",,
Mayor_027,Y,,2,Female,,,,,,,,"WallStone Life +80%
GateStone Life +80%
WallStone GoldCost +200%
WallStone StoneCost +100%
GateStone GoldCost +200%
GateStone StoneCost +100%",
Mayor_028,Y,,2,Male,,,,,,,,"WallWood GoldCost -100%
WallWood WoodCost -100%
WallWood Life -60%",
Mayor_029,Y,,2,Female,,,,,,,,"ThanatosRocket EffectRadius +150%
SpitterAttack Damage +45
SpitterAttack EffectRadius +200%
Spitter Life +100%",
Mayor_030,Y,,2,Male,,,,,,,,"TitanAttack EffectRadius +100%
SpitterAttack Damage +45
SpitterAttack EffectRadius +200%
Spitter Life +100%",
Mayor_031,Y,,2,Female,,,,,,,,"LuciferAttack EffectRadius +200%
SpitterAttack Damage +45
SpitterAttack EffectRadius +200%
Spitter Life +100%",
Mayor_032,Y,,3,Male,,,,,,,,"Thanatos RunSpeed +50%
Thanatos OilGen -2",
Mayor_033,Y,,3,Female,,,,,,,,"StoneHouse GoldGen +30%
CottageHouse GoldGen -40%",
Mayor_034,Y,,3,Male,,,,,,,,"Bank FactorGoldNearBuildings +131%
Bank WoodGen -50",
Mayor_200,Y,,3,Male,,,,,,,,"Soldier FoodNeeded -1
Soldier IronCost +5",
Mayor_201,Y,,3,Female,,,,,,,,"EnergyWoodTower EnergyTransferRadius +2
EnergyWoodTower GoldGen -5",
Mayor_202,Y,,3,Male,,,,,,,,"Sniper RunSpeed +50%
Sniper GoldGen -5",
Mayor_203,Y,,3,Female,,,,,,,"EngineeringCenter (2)
OilPlatform (2)",,
Mayor_204,Y,,3,Male,,,,,,,"AdvancedFarm (5)",,
Mayor_205,Y,,3,Female,,,,,,,"Foundry",,
Mayor_206,Y,,4,Male,,,,,,,,"StoneHouse GoldGen +40%
StoneHouse WorkersSupply +2
StoneHouse EnergyNeeded +50%",
Mayor_207,Y,,4,Female,,,,,,,,"CommandCenter GoldGen +1000",
Mayor_208,Y,,4,Male,,,,,,,,"Structure BuildingTimeFactor -25%
Building EnergyNeeded -20%
Structure GoldCost +15%",
Mayor_209,Y,,4,Female,,,,,,"TechExecutor
TechTitan",,,
Mayor_210,Y,,4,Male,,,,,,,,"OilPlatform OilGen +25%
OilPlatform GoldGen -20",
Mayor_211,Y,,4,Female,,,,,,,,"PowerPlant EnergySupply +35%
PowerPlant GoldGen -30",
Mayor_212,Y,,4,Male,,,,,,,,"AdvancedFarm ResourceGeneration +30%
AdvancedFarm OilGen -1",
Mayor_213,Y,,4,Female,,,,,,,,"Building DefencesLife +35%",
Mayor_214,Y,,4,Male,,,,,,,,"ThanatosRocket Damage +50%",
Mayor_215,Y,,4,Female,,,,,,,,"TitanAttack Damage +50%",
Mayor_216,Y,,4,Male,,,,,,,,"Human LifeRegenFactor +100%
CommandCenter GoldGen -500",
Mayor_217,Y,,4,Female,,,,,,,,"WareHouse ResourcesStorage +75
WareHouse GoldGen -100%",
Mayor_218,Y,,4,Male,,,,,,,,"Quarry ResourceGeneration +50%
AdvancedQuarry ResourceGeneration +50%
Quarry GoldGen -5
AdvancedQuarry GoldGen -10",
Mayor_219,Y,,4,Female,,,,,,,,"WallStone Life +200%
GateStone Life +200%
WatchTowerStone Life +200%
WatchTowerStone RangeBonus +3
Giant Life +200%
ZombieStrongA Life +500%
ZombieDressedA Life +100%",
Mayor_220,Y,,4,Male,,,,,,,,"Technology GoldCost -60%",
Mayor_221,Y,,4,Female,,,,,,,,"Structure WorkersNeeded -75%
StoneHouse WorkersSupply -3",
Mayor_300,Y,,4,Male,,,,,,,,"LuciferAttack TimeAction -60%
Lucifer OilGen -1",
